Title,Body (HTML),Vendor,Tags,Variant SKU,Variant Price,Image Src
Пришельцы государственной важности. Военная тайна,"
Эта первая отечественная книга, основанная на документах из военных архивов, об инопланетянах, летающих тарелках, контактах с внеземными цивилизациями и о параллельных мирах от известного документалиста, автора и ведущего программы ""Военная тайна"" Игоря Прокопенко.",Прокопенко Игорь Станиславович,"['Психология и эзотерика', 'Эзотерика, парапсихология и тайны', 'Таинственные явления в природе и истории']",330955,479,/home/vancho/Desktop/Kwork/Bukvoed/Scrapy Bukvoed/Bukvoed/results/images/330955.jpeg
Я расту: Стихи,"
В этой книге ваш малыш познакомится с чудесными стихами Агнии Львовны Барто. Написанные прекрасным слогом и пронизанные любовью к детям, они дадут вашему ребенку возможность почувствовать всю прелесть родного языка. Для дошкольного и младшего школьного возраста.&nbsp;","Барто, Агния Львовна","['Литература для детей', 'Художественная литература', 'Стихи и песни']",330984,486,/home/vancho/Desktop/Kwork/Bukvoed/Scrapy Bukvoed/Bukvoed/results/images/330984.png
"Игры, в которые играют люди. Люди, которые играют в игры","
Перед вами одна из основополагающих культовых книг по психологии человеческих взаимоотношений. Система, разработанная Берном, призвана избавить человека от влияния жизненных сценариев, программирующих его поведение, научить его меньше ""играть"" в отношениях с собой и другими, обрести подлинную свободу и побудить к личностному росту. В этой книге читатель найдет много полезных советов, которые помогут понять природу человеческого общения, мотивы собственных и чужих поступков и причины возникновения конфликтов. По мнению автора, судьба каждого из нас во многом определяется еще в раннем детстве, однако в зрелом возрасте она вполне может быть осознана и управляема человеком, если он этого захочет. Именно с публикации этого международного бестселлера в нашей стране начался ""психологический бум"", когда миллионы людей вдруг осознали, что психология может быть невероятно интересной, что с ее помощью можно многое понять в себе и других.",Берн Эрик ,"['Психология и эзотерика', 'Психология', 'Межличностные коммуникации']",330992,956,/home/vancho/Desktop/Kwork/Bukvoed/Scrapy Bukvoed/Bukvoed/results/images/330992.jpeg
Последний континент,"
Бывает, не везет людям. А бывает - целым континентам. Он создавался в последнюю очередь. Даже имя ему выпало какое-то несуразное - ИксиксИкс. Зато много-много лет спустя на него выпал Ринсвинд, самый невезучий и трусливый волшебник на Плоском мире. И именно на Ринсвинда возложена великая миссия - спасти этот несчастный континент. Правда, чтобы эту миссию возложить, надо сначала Ринсвинда догнать…",Пратчетт Терри ,"['Художественная литература', 'Фантастика, фэнтези, мистика', 'Зарубежная', 'Фэнтези']",330996,711,/home/vancho/Desktop/Kwork/Bukvoed/Scrapy Bukvoed/Bukvoed/results/images/330996.jpeg
Самоучитель по рисованию акварелью,"
Читателям предлагается современный самоучитель, представляющий собой уникальное собрание художественных приемов работы акварелью. .Эта книга бесценна для тех, кто только начал знакомиться с такой интересной техникой, как акварель, и любопытна тем, кто уже начал работать с ней. Готовые приемы позволят начинающим художникам развиваться как творчески, так и технически, экономя время и силы для дальнейшего профессионального роста. .Эффективная, наглядная и современная методика обучения направлена на раскрытие природного потенциала и дает возможность овладеть простыми и доступными художественными навыками.",Шматова Ольга Валериевна,"['Искусство', 'Живопись и графика', 'Техники и приемы']",330998,591,/home/vancho/Desktop/Kwork/Bukvoed/Scrapy Bukvoed/Bukvoed/results/images/330998.jpeg
"Шьем со звездами кино, эстрады, телевидения","
Дорогие читатели, вы держите в руках уникальное издание, являющееся результатом совместного творчества талантливых российских модельеров, звезд эстрады, кино и телевидения. Здесь представлена коллекция моделей, которые можно сшить, обладая определенными навыками портновского искусства. Каждое изделие отражает индивидуальность и неповторимость стиля героинь. Особенность книги состоит еще и в том, что в ней публикуется серия интервью со звездами на самые разные темы, касающиеся их жизни, профессиональной деятельности и представлений о моде в целом. 
Информация, собранная на этих страничках, несомненно, принесет вам практическую и эстетическую пользу.",Яицких В.,"['Домашний круг', 'Домоводство, рукоделие']",331027,474,/home/vancho/Desktop/Kwork/Bukvoed/Scrapy Bukvoed/Bukvoed/results/images/331027.jpeg
Подводный мир. Полная энциклопедия (мел.),"
Книга ""Подводный мир. Полная энциклопедия""— не только рассказ о всех подводных жителях, среди которых и рыбы, и амфибии, и млекопитающие, но и полный путеводитель по водам Мирового океана, а также рек и озер. Если вы хотите совершить путешествие вокруг света под водой— это та самая книга! Она будет полезна на школьных занятиях как дополнительное чтение и справочное пособие.",Школьник Юлия Константиновна,"['Литература для детей', 'Детская научно-популярная литература', 'Естественные науки']",331103,1386,/home/vancho/Desktop/Kwork/Bukvoed/Scrapy Bukvoed/Bukvoed/results/images/331103.jpeg
К оружию! К оружию!,"
Слушайте, новобранцы, вам выпала великая честь - вы, всякие этнические меньшинства типа гномов, троллей и женщин, вступаете в Ночную Стражу! А это - ваша дубинка! Вы будете ее есть, ею спать, а когда вам скажут прыгать, вы должны ответить: «Какого цвета?»! И еще, в кармане каждого солдата лежат фельдмаршальские пуговицы! А теперь - десять кругов вокруг Анк-Морпорка!",Пратчетт Терри ,"['Художественная литература', 'Фантастика, фэнтези, мистика', 'Зарубежная', 'Фэнтези']",331105,690,/home/vancho/Desktop/Kwork/Bukvoed/Scrapy Bukvoed/Bukvoed/results/images/331105.jpeg
Рай на земле,"
Яна Темиз После окончания филологического факультета МГУ Яна Темиз резко изменила свою жизнь. Она оставила преподавание и уехала в далекую Турцию. Что было тому причиной? Конечно, любовь. Любимый муж, трое детей… Но стать простой домохозяйкой в турецком Измире Яне Темиз было не суждено. У нее появилось удивительное хобби — она стала писать детективные романы. И теперь читателю остается только гадать — что из написанного было пережито самой Яной Темиз. «Рай на земле» — блестящий детектив в стиле Агаты Кристи, действие которого происходит в одном из отелей Антальи. Те читатели, которые уже побывали в Турции, получат массу удовольствия от узнавания точных деталей, а те, кто только собирается в поездку, смогут пощекотать себе нервы подробностями «закулисной» жизни фешенебельных курортов. Рекомендовано для отдыха в Турции!",Темиз Я.,"['Художественная литература', 'Детективы, боевики, приключения', 'Отечественные']",331128,224,/home/vancho/Desktop/Kwork/Bukvoed/Scrapy Bukvoed/Bukvoed/results/images/331128.jpeg
Коктейль для Барби,"
Круиз по Карибским островам – такой подарок получила Каролина, героиня романа «Коктейль для Барби», от своего возлюбленного Мариуса. В это путешествие счастливая пара отправилась вместе. Разумеется, никто и предположить не мог, что отпуск обернется необычайным приключением и буквально перевернет всю жизнь Каролины. Ведь она получит предложение вести ток-шоу на телевидении в прайм-тайм! И вот когда передача имеет грандиозный успех и кажется, что все складывается как нельзя лучше, в жизни Каролины появляется Роланд Дункель… Что это, новая большая любовь? Или просто сон?",Вольф Ш.фон,"['Художественная литература', 'Сентиментальный роман', 'Зарубежный']",331155,240,/home/vancho/Desktop/Kwork/Bukvoed/Scrapy Bukvoed/Bukvoed/results/images/331155.jpeg
